%OpenBCI Raw EEG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Timestamp (Formatted)
0.0, -18993.728515625, -355.9962158203125, -187500.015625, -57304.3515625, -7962.89794921875, -26379.21484375, 7827.37939453125, -432.8415222167969, 93749.984375, 93749.984375, 93749.984375, 92182.4140625, -91747.6484375, 93393.7890625, -91639.2421875, 67434.046875, -0.24000000953674316, 0.3720000088214874, 0.20200000703334808, 192.0, 124.0, 64.0, 5.5, 80.0, 3.0, 40.0, 0.0, 0.0, 0.0, 1.6170039569558918E9, 2021-03-29 10:45:56.955
2.0, -18439.451171875, -335.2091064453125, -187500.015625, -57306.921875, -7984.93701171875, -26375.861328125, 7807.083984375, -427.3653259277344, 187500.0, 187500.0, 187500.0, 184379.484375, -183560.453125, 186827.15625, -183321.796875, 134887.8125, -0.24000000953674316, 0.3720000088214874, 0.20200000703334808, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6170039569558969E9, 2021-03-29 10:45:56.955
4.0, -18626.892578125, -371.37420654296875, -187500.015625, -57335.484375, -7974.67724609375, -26406.1484375, 7790.2978515625, -452.5780944824219, 187500.0, 187500.0, 187500.0, 184345.96875, -183516.9375, 186767.96875, -183423.6875, 134843.953125, -0.24000000953674316, 0.3720000088214874, 0.20200000703334808, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.617003956955901E9, 2021-03-29 10:45:56.955
6.0, -18920.953125, -340.81939697265625, -187500.015625, -57315.83984375, -7977.87353515625, -26386.14453125, 7814.03564453125, -431.6568603515625, 187500.0, 187500.0, 187500.0, 184346.40625, -183504.640625, 186798.734375, -183325.046875, 134845.65625, -0.2970000058412552, 0.46400003135204315, 0.25300001353025436, 192.0, 122.0, 120.0, 8.5, 48.0, 4.5, 64.0, 0.0, 0.0, 0.0, 1.617003956955905E9, 2021-03-29 10:45:56.955
8.0, -18223.689453125, -325.6425476074219, -187500.015625, -57308.4609375, -7961.4677734375, -26378.232421875, 7840.54443359375, -413.4402160644531, 187500.0, 187500.0, 187500.0, 184294.65625, -183505.40625, 186745.75, -183526.921875, 134811.125, -0.2970000058412552, 0.46400003135204315, 0.25300001353025436, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6170039569559093E9, 2021-03-29 10:45:56.955
10.0, -19049.630859375, -336.0137634277344, -187500.015625, -57315.90625, -7956.7958984375, -26387.619140625, 7843.4501953125, -422.3808898925781, 187500.0, 187500.0, 187500.0, 184302.890625, -183425.109375, 186691.125, -183388.296875, 134805.25, -0.2970000058412552, 0.46400003135204315, 0.25300001353025436, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6170039569559133E9, 2021-03-29 10:45:56.955
12.0, -18490.234375, -298.7087097167969, -187500.015625, -57298.671875, -7980.6455078125, -26390.501953125, 7826.77587890625, -442.6092224121094, 187500.0, 187500.0, 187500.0, 184317.3125, -183474.09375, 186708.421875, -183330.0, 134805.0625, -0.2970000058412552, 0.46400003135204315, 0.25300001353025436, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6170039569559176E9, 2021-03-29 10:45:56.955
14.0, -18663.951171875, -331.1410827636719, -187500.015625, -57317.359375, -7968.50830078125, -26407.736328125, 7808.3134765625, -452.6898498535156, 187500.0, 187500.0, 187500.0, 184308.640625, -183420.28125, 186703.28125, -183425.34375, 134780.90625, -0.2970000058412552, 0.46400003135204315, 0.25300001353025436, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6170039569559216E9, 2021-03-29 10:45:56.955
16.0, -18944.599609375, -306.91180419921875, -187500.015625, -57304.41796875, -7980.35498046875, -26387.9765625, 7818.34912109375, -430.8522033691406, 187500.0, 187500.0, 187500.0, 184285.28125, -183394.453125, 186702.640625, -183324.21875, 134754.28125, -0.35750000923871994, 0.5550000295042992, 0.2965000085532665, 192.0, 121.0, 120.0, 10.0, 24.0, 5.0, 80.0, 0.0, 0.0, 0.0, 1.6170039569559257E9, 2021-03-29 10:45:56.955
18.0, -18325.0546875, -295.1994934082031, -187500.015625, -57286.89453125, -7954.8740234375, -26373.291015625, 7847.2724609375, -415.40716552734375, 187500.0, 187500.0, 187500.0, 184302.546875, -183387.546875, 186704.1875, -183521.421875, 134772.046875, -0.35750000923871994, 0.5550000295042992, 0.2965000085532665, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6170039569559298E9, 2021-03-29 10:45:56.955
20.0, -19105.755859375, -307.4035339355469, -187500.015625, -57292.14453125, -7951.54345703125, -26380.66796875, 7858.22509765625, -416.7705993652344, 187500.0, 187500.0, 187500.0, 184312.03125, -183324.171875, 186676.359375, -183405.90625, 134770.546875, -0.35750000923871994, 0.5550000295042992, 0.2965000085532665, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6170039569559343E9, 2021-03-29 10:45:56.955
22.0, -18584.423828125, -292.09259033203125, -187500.015625, -57296.99609375, -7972.30810546875, -26382.76953125, 7845.57373046875, -428.2593994140625, 187500.0, 187500.0, 187500.0, 184306.46875, -183388.40625, 186673.3125, -183356.359375, 134766.890625, -0.35750000923871994, 0.5550000295042992, 0.2965000085532665, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.617003956955938E9, 2021-03-29 10:45:56.955
24.0, -18711.359375, -324.92730712890625, -187500.015625, -57315.2578125, -7953.57763671875, -26394.951171875, 7842.6455078125, -434.1155700683594, 187500.0, 187500.0, 187500.0, 184248.890625, -183344.71875, 186614.0, -183448.875, 134714.421875, -0.35750000923871994, 0.5550000295042992, 0.2965000085532665, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6170039569559424E9, 2021-03-29 10:45:56.955
26.0, -19042.03125, -307.7164611816406, -187500.015625, -57308.484375, -7963.94873046875, -26377.873046875, 7843.02587890625, -429.39935302734375, 187500.0, 187500.0, 187500.0, 184249.890625, -183327.21875, 186601.96875, -183319.859375, 134712.75, -0.4007500223815441, 0.6275000385940075, 0.33325000666081905, 192.0, 121.0, 16.0, 10.5, 112.0, 5.5, 72.0, 0.0, 0.0, 0.0, 1.6170039569559464E9, 2021-03-29 10:45:56.955
28.0, -18383.19140625, -308.096435546875, -187500.015625, -57317.4921875, -7972.2412109375, -26385.65234375, 7832.96728515625, -437.46832275390625, 187500.0, 187500.0, 187500.0, 184259.734375, -183335.28125, 186646.15625, -183510.046875, 134721.625, -0.4007500223815441, 0.6275000385940075, 0.33325000666081905, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6170039569559505E9, 2021-03-29 10:45:56.955
30.0, -19132.244140625, -319.1605529785156, -187500.015625, -57319.9296875, -7969.1787109375, -26391.173828125, 7835.5380859375, -446.1855163574219, 187500.0, 187500.0, 187500.0, 184209.859375, -183265.4375, 186544.234375, -183391.828125, 134667.21875, -0.4007500223815441, 0.6275000385940075, 0.33325000666081905, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6170039569559546E9, 2021-03-29 10:45:56.955
