%OpenBCI Raw EEG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Timestamp (Formatted)
0.0, -24105.283203125, -1809.2171630859375, 93749.984375, -31927.6328125, -6241.724609375, -14966.2353515625, 3019.67578125, -1977.12353515625, -93750.0078125, -93750.0078125, -93750.0078125, -93750.0078125, -93750.0078125, -93750.0078125, -69144.6015625, -93750.0078125, -0.4360000193119049, 0.7760000228881836, 0.38200002908706665, 192.0, 121.0, 48.0, 12.0, 32.0, 5.5, 120.0, 0.0, 0.0, 0.0, 1.6170038951985383E9, 2021-03-29 10:44:55.198
2.0, -45652.7421875, -3722.5263671875, 187500.0, -64012.578125, -12633.541015625, -30097.248046875, 5865.0751953125, -4112.00537109375, -187500.015625, -187500.015625, -187500.015625, -187500.015625, -187500.015625, -187500.015625, -130323.8046875, -187500.015625, -0.4360000193119049, 0.7760000228881836, 0.38200002908706665, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6170038951986406E9, 2021-03-29 10:44:55.198
4.0, -44129.33984375, -3715.977294921875, 187500.0, -63916.53125, -12572.8779296875, -30003.4375, 5964.048828125, -4027.09130859375, -187500.015625, -187500.015625, -187500.015625, -187500.015625, -187500.015625, -187500.015625, -130304.765625, -187500.015625, -0.4360000193119049, 0.7760000228881836, 0.38200002908706665, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6170038951986446E9, 2021-03-29 10:44:55.198
6.0, -46009.96875, -3633.67822265625, 187500.0, -63895.5, -12534.9697265625, -29979.857421875, 5984.34423828125, -4002.459716796875, -187500.015625, -187500.015625, -187500.015625, -187500.015625, -187500.015625, -187500.015625, -130288.1796875, -187500.015625, -0.4360000193119049, 0.7760000228881836, 0.38200002908706665, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6170038951986485E9, 2021-03-29 10:44:55.198
8.0, -42107.15234375, -3729.410888671875, 187500.0, -64019.57421875, -12653.8134765625, -30104.400390625, 5847.4619140625, -4136.1005859375, -187500.015625, -187500.015625, -187500.015625, -187500.015625, -187500.015625, -187500.015625, -130278.078125, -187500.015625, -0.41600000858306885, 0.796000063419342, 0.3580000102519989, 192.0, 121.5, 0.0, 12.0, 112.0, 5.5, 24.0, 0.0, 0.0, 0.0, 1.6170038951986525E9, 2021-03-29 10:44:55.198
10.0, -44792.06640625, -3597.848388671875, 187500.0, -63815.45703125, -12469.7021484375, -29900.955078125, 6061.3681640625, -3925.301513671875, -187500.015625, -187500.015625, -187500.015625, -187500.015625, -187500.015625, -187500.015625, -130266.8359375, -187500.015625, -0.41600000858306885, 0.796000063419342, 0.3580000102519989, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6170038951986563E9, 2021-03-29 10:44:55.198
12.0, -43103.39453125, -3676.48193359375, 187500.0, -63997.890625, -12627.3046875, -30086.140625, 5870.52880859375, -4112.40771484375, -187500.015625, -187500.015625, -187500.015625, -187500.015625, -187500.015625, -187500.015625, -130260.7578125, -187500.015625, -0.41600000858306885, 0.796000063419342, 0.3580000102519989, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6170038951986606E9, 2021-03-29 10:44:55.198
14.0, -41810.0078125, -3680.907470703125, 187500.0, -63903.14453125, -12561.1884765625, -29992.486328125, 5962.90869140625, -4021.1904296875, -187500.015625, -187500.015625, -187500.015625, -187500.015625, -187500.015625, -187500.015625, -130250.3359375, -187500.015625, -0.41600000858306885, 0.796000063419342, 0.3580000102519989, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6170038951986647E9, 2021-03-29 10:44:55.198
16.0, -43930.80859375, -3598.89892578125, 187500.0, -63870.95703125, -12510.29296875, -29965.1953125, 6002.09130859375, -3989.9873046875, -187500.015625, -187500.015625, -187500.015625, -187500.015625, -187500.015625, -187500.015625, -130239.6953125, -187500.015625, -0.41600000858306885, 0.796000063419342, 0.3580000102519989, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6170038951986687E9, 2021-03-29 10:44:55.198
18.0, -40443.8046875, -3704.9580078125, 187500.0, -63999.01171875, -12649.7236328125, -30097.96484375, 5851.95458984375, -4129.39501953125, -187500.015625, -187500.015625, -187500.015625, -187500.015625, -187500.015625, -187500.015625, -130234.6015625, -187500.015625, -0.40800002217292786, 0.8040000200271606, 0.3540000021457672, 192.0, 121.5, 32.0, 12.5, 16.0, 5.5, 8.0, 0.0, 0.0, 0.0, 1.6170038951986725E9, 2021-03-29 10:44:55.198
20.0, -43306.390625, -3588.281982421875, 187500.0, -63798.671875, -12472.8095703125, -29894.96484375, 6052.27099609375, -3933.4150390625, -187500.015625, -187500.015625, -187500.015625, -187500.015625, -187500.015625, -187500.015625, -130228.4140625, -187500.015625, -0.40800002217292786, 0.8040000200271606, 0.3540000021457672, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6170038951986766E9, 2021-03-29 10:44:55.198
22.0, -43030.01171875, -3621.98828125, 187500.0, -63882.82421875, -12550.392578125, -29980.326171875, 5962.10400390625, -4024.29736328125, -187500.015625, -187500.015625, -187500.015625, -187500.015625, -187500.015625, -187500.015625, -130228.5703125, -187500.015625, -0.40800002217292786, 0.8040000200271606, 0.3540000021457672, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6170038951986806E9, 2021-03-29 10:44:55.198
24.0, -42549.80859375, -3612.533447265625, 187500.0, -63863.37890625, -12537.1376953125, -29960.142578125, 5971.8046875, -4006.48291015625, -187500.015625, -187500.015625, -187500.015625, -187500.015625, -187500.015625, -187500.015625, -130234.7578125, -187500.015625, -0.40800002217292786, 0.8040000200271606, 0.3540000021457672, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6170038951986847E9, 2021-03-29 10:44:55.198
