1.81358588	4.98039198
1.81759179	4.52941179
1.82173693	0.92156863
1.82173693	0.00000000
1.82577562	0.01960784
1.82990444	0.13725491
1.83400035	4.98039198
1.83814549	3.78431368
1.84220874	1.29411769
1.84220874	0.11764706
1.84660792	0.33333334
1.85045815	0.72549021
1.85521770	4.68627453
1.85521770	4.96078444
1.85892868	1.41176474
1.86342609	0.00000000
1.86687493	0.00000000
1.86687493	0.00000000
1.87089717	0.80392158
1.87505054	4.05882359
1.87908101	0.23529412
1.88344729	0.00000000
1.88752687	0.00000000
1.88752687	0.00000000
1.89163113	2.47058821
1.89575171	4.86274529
1.89987230	2.50980401
1.89987230	0.00000000
1.90369797	0.00000000
1.90840828	0.00000000
1.91247976	0.03921569
1.91247976	3.19607854
1.91653478	4.11764717
1.92054069	0.25490198
1.92054069	0.00000000
1.92471039	0.00000000
1.92875719	0.23529412
1.93241084	1.98039210
1.93241084	4.98039198
1.93640852	4.76470566
1.94052100	2.56862736
1.94464970	1.23529410
1.94464970	1.76470590
1.94897509	2.56862736
1.95290720	4.13725471
1.95715070	4.98039198
1.95715070	4.62745094
1.96124673	4.72549009
1.96528542	3.76470590
1.96528542	3.33333325
1.96938956	2.96078420
1.97440302	4.13725471
1.97863019	4.70588255
1.97863019	4.60784292
1.98185778	3.84313726
1.98584735	2.41176462
1.99026275	1.72549021
1.99026275	1.94117641
1.99437511	3.54901958
1.99811077	3.88235283
2.00220680	5.00000000
2.00220680	3.41176462
2.00621271	2.74509811
2.01033330	2.01960778
2.01033330	2.23529410
2.01437187	2.74509811
2.01834488	1.41176474
2.02249002	4.33333349
2.02249002	1.92156863
2.02684832	0.37254903
2.03089499	0.00000000
2.03499937	0.76470590
2.03499937	1.58823526
2.03908706	2.35294127
2.04317498	3.98039222
2.04770517	3.13725495
2.04770517	2.84313726
2.05183387	2.78431368
2.05622482	3.90196085
2.05622482	3.70588231
2.06027985	5.00000000
2.06440043	3.13725495
2.06757069	2.07843137
2.06757069	1.49019611
2.07160926	1.84313726
2.07568908	2.86274505
2.07980943	2.23529410
2.07980943	4.47058821
2.08413482	2.86274505
2.08827186	2.05882359
2.09233499	2.39215684
2.09643102	3.03921580
2.10054350	3.54901958
2.10054350	3.74509811
2.10503268	2.49019599
2.10997248	1.78431368
2.11374068	1.49019611
2.11374068	2.21568632
2.11810708	2.07843137
2.12127733	4.86274529
2.12545538	3.07843137
2.12545538	1.84313726
2.12958407	1.05882359
2.13326240	1.21568632
2.13735008	1.35294116
2.14138889	4.33333349
2.14548469	2.25490189
2.14548469	1.27450979
2.14943337	0.70588237
2.15355396	1.62745094
2.15792036	2.13725495
2.15792036	2.80392146
2.16200805	3.41176462
2.16597295	1.82352936
2.16998696	1.13725495
2.16998696	1.27450979
2.17425513	2.43137264
2.17956352	2.60784316
2.18302059	2.64705873
2.18668246	1.60784316
2.19160581	1.49019611
2.19160581	2.52941179
2.19563627	3.92156863
2.19865918	3.86274505
2.20273042	4.52941179
2.20273042	3.43137264
2.20678544	2.96078420
2.21086526	2.74509811
2.21526432	3.86274505
2.21526432	4.43137264
2.21906543	4.98039198
2.22344804	4.01960802
2.22750306	2.66666675
2.23135328	2.80392146
2.23569512	4.13725471
2.23569512	4.45098019
2.24035645	5.00000000
2.24482107	3.33333325
2.24854016	2.39215684
2.24854016	1.90196073
2.25193167	2.43137264
2.25655198	3.31372547
2.26061511	2.62745094
2.26061511	4.39215708
2.26469469	2.70588231
